Anmerkungen,Ort Motiv,Koordinaten Motiv,Jahr Motiv,Titel,Untertitel,Ort Verlag,Verlag,Nummer,Schlagwörter,Mitarbeiter/Fotograf,Absendeort,Absendeort Koordinaten,Empfangsort,Empfangsort Koordinaten,Anzahl Menschen,Jahr Motiv bereinigt,Land
,Altengottern,"51.16413,10.580864",1983,Altengottern (Kr. Mühlhausen),,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 414/83 05 09 09 029,"1980er; 1983; Baudetail - Fachwerk; Baudetail - Trennwand - Betonelemente; Bezirk Erfurt; Briefmarke - Aufbau in der DDR - Kleinformat - Palast der Republik, Berlin; Detail - Antennen; Detail - Dorfstraße; Detail - Fahrradständer; Detail - Mülltonnen; Detail - Uhr; Detail - Uhr - Turmuhr; Detail - Zaun - Lattenzaun; Fotografie - Perspektive; gelaufen 1980er; Kennzeichen - EA 82 09; Kirche; Kirche - Ort - Altengottern; Kirche - Ort - Altengottern - Wigbertikirche; Kirche - Patrozinium - Wigbert; Klubhaus; Kreis Mühlhausen; Menschen - 2; Menschen - Mütter - mit Kinderwagen; nach: Stralsund; Nachricht - Anrede - Familie; Nachricht - Arbeit - Lehrgang; Nachricht - Arbeit - Lehrgang - Leipzig; Nachricht - Bauarbeiten; Nachricht - Bauarbeiten - Fenster; Nachricht - Bauarbeiten - Tapezieren; Nachricht - Dank - für Glückwünsche; Nachricht - Grüße; Nachricht - Post - verspätet; Name - Elfriede; Name - Helmut; Name - Kurt; Name - Volker; Natur - Baum - beschnitten; Natur - Baum - Weide; Ort - Altengottern; Per - Kurt Walther; Schild - KLUBHAUS; Uhrzeit - 13:07; Verkehr - Auto - Wartburg","Gräser, [Otterstedt]",o.A.,,Stralsund,"54.30916666666667,13.081944444444444",2,1983,Germany
,Altenhof,"53.35,12.349722222222",1962,Pionierrepublik Wilhelm Pieck // Altenhof am Werbellinsee // Freilichtbühne,,Bestensee,"PGH ""Rotophot"" Bestensee bei Berlin",I 12 5 F 34-62 Handabzug 5005,"1960er; 1962; Bezirk Frankfurt Oder; Detail - Fahne - Jungpioniere; Fotografie - Handabzug; Kreis Eberswalde; Kultur - Freilichtbühne; Kunst - Pioniere; Kunst - politisch; Losung - Für eine glückliche Kindheit in einer Welt des Friedens; Natur - Bäume; Natur - Wald; Ort - Altenhof; Pionierrepublik ""Wilhelm Pieck""; Raumtyp - Bühne; Sitzreihen; ungelaufen",,o.A.,,o.A.,,2,1962,Germany
,Altenhof,"53.35,12.349722222222",1969,"Pionierrepublik ""Wilhelm Pieck"" / Altenhof Werbellinsee",,Bestensee,"PGH  ""Rotophot"" Bestensee bei Berlin",F 34-69 III 9 109,"1960er; 1969; Architekt - Erich Rank; Architekt - Reinhold Lingner; Architekt - W. Tausch; Architektur; Bezirk Frankfurt Oder; Kreis Eberswalde; Menschen - Kinder; nach: Schwerin; Nachricht - An die Oma; Name - Gabi; Name - Margarethe; Natur - Bäume; Natur - Bäume - Birken; Natur - Wald; Ort - Altenhof; Ort - Altenhof - Pionierrepublik ""Wilhelm Pieck""; Per - Margarethe Busch; Pionierrepublik ""Wilhelm Pieck""; Stadtdetail - Laternen; Stempel - Tagesstempel - Pionierrepublik; von: Altenhof",,"Altenhof, Brandenburg","52.9147,13.7064",Schwerin,"53.62888888888889,11.415",2,1969,Germany
,Altenhof,"53.35,12.349722222222",1981,ALTENHOF (Kr. Eberswalde),Am Werbellinsee,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 209/81 IV-14-483 02 05 04 391,"1980er; 1981; Bezirk Frankfurt Oder; Briefmarke - Aufbau in der DDR - Kleinformat - Palast der Republik, Berlin; DDR - Bulgarien; Detail - Boot - Kajak; Detail - Sprungturm; Detail - Steg; Fotografie - Laub - von oben; gelaufen 1980er; Kleidung - Badeanzug; Kreis Eberswalde; Menschen - Kinder; nach: Sofia; Nachricht - An die Tante; Nachricht - Ort - Berlin; Nachricht - Pionierrepublik W. Pieck am Werbellinsee; Name - Katja; Name - Millie; Natur - Bäume; Natur - Strand; Natur - Tiere - Schwäne; Natur - Ufer; Ort - Altenhof; Philokartie - Eindruck - Logo BILD UND HEIMAT; See - Werbellinsee; Sprache - Russisch; Stempel - Tagesstempel - Eberswalde-Finow; Tätigkeit - Baden; Tätigkeit - Sitzen; Tätigkeit - Sport - Rudern; Tätigkeit - Stehen - im Wasser; Tätigkeit - Umdrehen; Tiere - Schwäne; von: Eberswalde-Finow",,Eberswalde-Finow,"52.833055555556,13.833055555556",Sofia,"42.697886,23.321726",2,1981,Germany
,Altenhof,"53.35,12.349722222222",1982,Altenhof (Kr. Eberswalde) // FDGB-Urlauberwohnheim,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 229/82 01 05 04 175,1980er; 1982; Baudetail - Balkone; Bautyp - Plattenbau; Bezirk Frankfurt Oder; FDGB-Erholungsheim; FDGB-Heim - Ort - Altenhof - FDGB-Urlauberwohnheim; Kleidung - Accessoires - Herrenhandtasche; Kreis Eberswalde; Menschen - Personen - 3; Natur - Bäume - jung; Ort - Altenhof; Paar; Sammlung - Thomas Neumann; Stadtdetail - Grünanlagen; Stadtdetail - Laternen; Stadtmöbel - Papierkorb; Stadtmöbel - Sitzbank,"Greger, Halle",o.A.,,o.A.,,3,1982,Germany
,Altentreptow,"53.6927,13.2562",1978,Altentreptow,Neubaugebiet,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 779/78 01 03 01 017,1970er; 1978; Architektur - Stil - Typenbauweise; Baudetail - Balkone; Bautyp - Neubaublöcke; Bezirk Neubrandenburg; Detail - Antennen; Detail - Gras; Detail - Steine; Detail - Wäsche - auf der Leine; Fotografie - Perspektive; Fotografie - Schatten; Kreis Altentreptow; Ort - Altentreptow; Ort - Altentreptow - Neubaugebiet; Philokartie - Eindruck - Logo BILD UND HEIMAT; Stadtgestaltung - Neubaugebiet; ungelaufen; Verkehr - Auto - 1,"Kampmann, [Berlin]",o.A.,,o.A.,,3,1978,Germany
,Altjeßnitz,"51.690555555556,12.321944444444",1984,Altjessnitz (Kr. Bitterfeld) // Konsum-Kaufhalle,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A 1/B 253/84 IV-14-483 01 08 04 181,1980er; 1984; Baudetail - Dachrinne; Baudetail - Schaufenster; Bezirk Halle; Detail - Fahne; Detail - Zaun - Ziergitter; Einzelhandel - Art - Kaufhalle; Einzelhandel - Art - Kaufhalle - Konsum-Kaufhalle; Handel; Kreis Bitterfeld; Ort - Altjessnitz; Stadtdetail - Gehwegplatten; Stadtdetail - Grünanlagen; Stadtmöbel - Briefkasten; Wand - Formsteinwand,Frisch (Raguhn),o.A.,,o.A.,,3,1984,Germany
,Penig,"50.933611111111,12.705833333333",1976,Amerika bei Penig i. Sa,,Zwickau,Fotografischer Verlag R. Kallmer Zwickau/Sa.,12035 K 2/436/76 IV-14-483 K 232,"1970er; 1976; Baudetail - Schornstein; Bautyp - Altbauten; Bautyp - Fachwerk; Bautyp - Neubaublock; Bezirk Karl-Marx-Stadt; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Fotografie - Panorama; gelaufen - 1979 - 07 - 02; gelaufen 1979; Industrie; Kreis Rochlitz; Landschaft; Nachricht - Besuchsplanung; Nachricht - Kirschen; Nachricht - Mitbringen; Nachricht - Umbau; Name - Ellen; Name - Günter; Name - Nadine; Natur - Bäume; Natur - Wald; Ort - Amerika; Per - Günter v. Gliszozynia; Stempel - Tagesstempel - Rochlitz 929","Tautenhahn, Walter",o.A.,,o.A.,,3,1976,Germany
,Ammelsdorf,"50.806111111111,13.627777777778",1981,AMMELSDORF (Kr. Dippoldiswalde),Konsumgaststätte „Eschenhof“,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A 1/B 443/81 IV-14-483 01 12 03 919 K,"Baudetail - Tür; Bezirk Dresden; Briefmarke - Aufbau in der DDR - Kleinformat - Karl-Marx-Kopf vor Neubauten, Karl-Marx-Stadt; DDR - BRD; Detail - Fahnenhalterung; Detail - Flaschen; Detail - Krüge; Detail - Schild - Gaststätte Eschenhof; Detail - Zaunpfahl; Detail - Zimmerpflanze; Fotografie - Außen- und Innenansicht; Fotografie - Panorama; Gastronomie - Art - Konsum-Gaststätte; Gastronomie - Ort - Ammelsdorf - Konsumgaststätte Eschenhof; gelaufen - 1984 - 09 - 14; gelaufen 1980er; gelaufen 1984; Kreis Dippoldiswalde; Möbel - Barhocker; Möbel - Lampen; Möbel - Theke; nach: Bremerhaven; Nachricht - Abschiedsformel - Eure Freunde; Nachricht - Abschiedsformel - Tschüß; Nachricht - Anrede - Herrn; Nachricht - Anredeformel - Lieber; Nachricht - Ausflug; Nachricht - Dank - für Ansichtskarte; Nachricht - Dank - für Brief; Name - Franzi; Name - Jens; Name - Jürgen; Name - Kona; Natur - Baum; Ort - Ammelsdorf; Ort - Ammelsdorf - Konsumgaststätte Eschenhof; Per - Jens Windhorst; Raumtyp - Bar; Stempel - Tagesstempel - DRESDEN w; Stempel - Werbestempel - JETZT SCHUTZIMPFUNG GEGEN VIRUSGRIPPE; Tiere - Schafe; von: Dresden",,Dresden,"51.0493286,13.7381437",Bremerhaven,"53.55,8.5833333333333",3,1981,Germany
,Angermünde,"53.033333333333,14",1967,Angermünde // Ernst-Kamith-Straße,,Berlin,Graphokopie H. Sander KG 1071 Berlin,B 8/7 Best.-Nr. 2504,1960er; 1967; AWG-Siedlung; Baudetail - Balkone; Bautyp - Neubauten; Bezirk Frankfurt Oder; Detail - Antennen; Himmel - Wolken; Jahreszeit - Sommer; Kreis Angermünde; Landschaft; Menschen - 2; Menschen - Kinder; Menschen - Kinder - 2; Menschen - Kinder - radfahrend; Ort - Angermünde; Ortsansicht; Strommasten; Tätigkeit - Blick zur Kamera; Tätigkeit - Fahrradfahren; Verkehr - Straße,,o.A.,,o.A.,,2,1967,Germany
,Angermünde,"53.033333333333,14",1969,"Angermünde, Kaufhalle Berliner Straße",,Berlin-Karlshorst,"Postkartenverlag  Kurt Mader, Berlin-Karlshorst",V 11 50 B 3/69,1960er; 1969; Baudetail - Schaufenster; Bautyp - Altbauten; Bezirk Frankfurt Oder; Detail - Antennen; Detail - Fahne - DDR; Detail - Schaufenster - Geschirr; Einzelhandel; Einzelhandel - Art - Kaufhalle; Einzelhandel - Ort - Angermünde - Kaufhalle Berliner Straße - Angermünde; Handel; Kleidung - Einkaufstasche; Kleidung - Handtasche; Kleidung - Mantel; Kreis Angermünde; Menschen - Kind mit Schulranzen; Menschen - Passanten; Natur - Stadtnatur - Grünanlage; Ort - Angermünde; Plakat; Stadtdetail - Gehwegplatten - gestapelt; Stadtdetail - Laterne - Abknicklampe; Stadtgestaltung - Kopfsteinpflaster; Tätigkeit - Gespräch; Tätigkeit - in Schaufenster Schauen; Tätigkeit - Warten; Verkehr - Bushaltestelle,,o.A.,,o.A.,,2,1969,Germany
,Angermünde,"53.033333333333,14",1969,"Angermünde, Neubauten Prenzlauer Straße",,Berlin-Karlshorst,"Postkartenverlag Kurt Mader, Berlin-Karlshorst",V 11 50 B 3/69,"1960er; 1969; Architektur - Stil - Typenbauweise; Baudetail - Balkone; Bautyp - Neubaublöcke; Bezirk Frankfurt Oder; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 25 Pf.; gelaufen 1960er; gelaufen 1969; Kreis Angermünde; Menschen - Kind; Menschen - Personen - 1; nach: Berlin; Nachricht - Ankunftsbestätigung; Nachricht - Ankunftszeit; Nachricht - Ort - Angermünde; Nachricht - Ort - Prenzlau; Name - Anna; Name - Martha; Ort - Angermünde; Ort - Angermünde - Prenzlauer Straße; Per - Martha Hauenstein; Philokartie - bildseitige Markierung; Stadtdetail - Laternen; Stadtgestaltung - Neubaugebiet; Stempel - Tagesstempel - Angermünde 132; Straße - Prenzlauer Straße - Angermünde; von: Angermünde",,Angermünde,"53.033333333333,14",Berlin,"52.516666666667,13.383333333333",1,1969,Germany
,Angermünde,"53.033333333333,14",1978,ANGERMÜNDE /// 1 VEB Kraftverkehr // 2 Kaufhalle // 3 Ehm-Welk-Oberschule // 4 Neubauten an der Prenzlauer Allee,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 36/78 01 05 01 039,1970er; 1978; Archigrafie - Ehm-Welk-Oberschule; Archigrafie - veb kraftverkehr; Bautyp - Neubaublöcke; Bezirk Frankfurt Oder; Detail - Fahne - DDR; Detail - Fahnen; Detail - Laterne; Einzelhandel - Art - Kaufhalle; Einzelhandel - Ort - Angermünde - Kaufhalle Berliner Straße - Angermünde; Fotografie - Laub - von rechts; Kreis Angermünde; Menschen - Passanten; Natur - Sträucher; Ort - Angermünde; Ort - Angermünde - Ehm-Welk-Oberschule; Ort - Angermünde - Prenzlauer Straße; Ort - Angermünde - VEB Kraftverkehr; Schule; Schule - Ort - Angermünde - Ehm-Welk-Oberschule; Stadtdetail - Laterne - Abknicklampe; Straße - Prenzlauer Straße - Angermünde; Tätigkeit - Warten; VEB Kraftverkehr Angermünde; Verkehr - Bushaltestelle; Verkehr - Motorräder; Verkehr - Parkplatz,Kampmann (Berlin),o.A.,,o.A.,,1,1978,Germany
,Angermünde,"53.033333333333,14",1982,Angermünde. Ehm-Welk-Gedenkstätte; Ausstellungsraum bei Eröffnung,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 698/82 So 780/4 K,1980er; 1982; Ausstellung; Bezirk Frankfurt Oder; Detail - Zimmerpflanzen; Ehm Welk; Gedenkstätte; Innenraum; Kreis Angermünde; Kultur - Museum; Ort - Angermünde,Hirndorf (Schwedt (Oder)),o.A.,,o.A.,,1,1982,Germany
,Anklam,"53.85,13.683333333333334",1966,Anklam,Peenstraße [sic],Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 213/66 3/963,1960er; 1966; Architektur - Stil - Typenbauweise; Bautyp - Neubaublöcke; Bezirk Neubrandenburg; Fotografie - Perspektive; Fotografie - Schatten; Kennzeichen - IN 61 -25; Kreis Anklam; Menschen - 8; Ort - Anklam; Ort - Anklam - Peenestraße; Philokartie - Eindruck - DAMW; Stadtgestaltung - Neubaugebiet; Tätigkeit - Spaziergang; ungelaufen; Verkehr - Autos - 2; Verkehrszeichen - Durchfahrt verboten,"Darr, [Bild und Heimat]",o.A.,,o.A.,,8,1966,Germany
,Anklam,"53.85,13.683333333333334",1971,ANKLAM – Peenestraße,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 729/71 IV-14-45 3/1712,1970er; 1971; Archigrafie - express; Baudetail - Balkone; Bezirk Neubrandenburg; Einzelhandel - Art - Kaufhalle; Einzelhandel - Art - Kaufhalle - express; Kreis Anklam; Menschen - Passanten; Menschen - Radfahrer; Ort - Anklam; Ort - Anklam - Peenestraße; Stadtdetail - Laternen - Peitschenlampen; Stadtgestaltung - Grünanlage; Stadtgestaltung - Neubaugebiet; Straße - Peenestraße - Anklam; Tätigkeit - Fahrradfahren; ungelaufen; Verkehr - Fahrräder; Verkehrszeichen - Parkverbot; Verkehrszeichen - Rückseite,"Kampmann, [Berlin]",o.A.,,o.A.,,8,1971,Germany
,Anklam,"53.85,13.683333333333334",1982,Anklam,Springbrunnen am Markt,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 124/82 So 697 K/2,1980er; 1982; Aufschrift - HO SONDERVERKAUF HO; Baudetail - Balkon; Bautyp - Plattenbau; Bezirk Neubrandenburg; Detail - Antenne; Detail - Blumenkasten; Detail - Fahnenmast; Detail - Fenster - offen; Kreis Anklam; Markt; Menschen - 1; Ort - Anklam; Ort - Anklam - Markt; Philokartie - Eindruck - Logo BILD UND HEIMAT; Stadtgestaltung - Grünanlage; Stadtgestaltung - Parkplatz; Stadtgestaltung - Springbrunnen; Tätigkeit - Sitzen - auf dem Balkon; ungelaufen; Verkehr - Auto - Trabant; Verkehr - Auto - Wartburg; Verkehrszeichen - Rückseite,,o.A.,,o.A.,,1,1982,Germany
,Anklam,"53.85,13.683333333333334",1982,Anklam,"Steinstraße, Ecke Peenstraße",Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 124/82 So 697 K/5,1980er; 1982; Architektur - Stil - Plattenbau; Baudetail - Fenster; Baudetail - Funktionsunterlagerung; Bezirk Neubrandenburg; Detail - Balkone; Detail - Balkongestaltung; Detail - Zimmerpflanze; Detail - Zimmerpflanze - im Fenster; Fotografie - Perspektive; Kreis Anklam; Ort - Anklam; Ort - Anklam - Peenstraße; Ort - Anklam - Steinstraße; Stadtdetail - Ampel; Stadtdetail - Laterne - Abknicklampe; Stadtdetail - Laterne - Peitschenlampe; Stadtdetail - Laternen; Stadtdetail - Pflanzschalen; Straße - Peenstraße - Anklam; Straße - Steinstraße - Anklam; ungelaufen; Verkehr - Auto - Trabant; Verkehr - Stadtverkehr,,o.A.,,o.A.,,1,1982,Germany
,Anklam,"53.85,13.683333333333334",1983,ANKLAM,1 und 2 Neubaugebiet // 3 Hallenschwimmbad // 4 Wilhelm-Pieck-Oberschule,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A 1/B 71/83 IV-14-483 01 03 02 068,1980er; 1983; Archigrafie - HO kaufhalle; Baudetail - Kunst am Bau; Bautyp - Neubaublöcke; Bautyp - Plattenbauten; Bezirk Neubrandenburg; Einzelhandel - Art - HO-Kaufhalle; Einzelhandel - Art - Kaufhalle; Kreis Anklam; Ort - Anklam; Ort - Anklam - Hallenschwimmbad; Ort - Anklam - Wilhelm-Pieck-Oberschule; Philokartie - Eindruck - Logo BILD UND HEIMAT; Schule; Schule - Ort - Anklam - Wilhelm-Pieck-Oberschule; Schulhof; Schwimmhalle; Schwimmhalle - Ort - Anklam - Hallenschwimmbad; Stadtgestaltung - Neubaugebiet; Stadtnatur - Baum; ungelaufen; Verkehr - Autos - Trabant; Verkehr - Bushaltestelle; Verkehr - Moped - Schwalbe,"Hoffmann, [Oelsnitz (Erzgeb.)]",o.A.,,o.A.,,1,1983,Germany
,Anklam,"53.85,13.683333333333334",1984,Anklam. Herbert-Warnke-Straße im Neubaugebiet Süd,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 4/84 IV-14-483 01 03 02 078,1980er; 1984; Baudetail - Dachantenne; Bautyp - Plattenbauten; Bezirk Neubrandenburg; Einzelhandel - Art - HO-Kaufhalle; Einzelhandel - Art - Kaufhalle; Kreis Anklam; Ort - Anklam; Ort - Anklam - Neubaugebiet Süd; Stadtdetail - Grünanlagen; Stadtgestaltung - Neubaugebiet; Verkehr - Fahrräder,Kampmann (Berlin),o.A.,,o.A.,,1,1984,Germany
,Annaberg-Buchholz,"50.58,13.002222222222",1959,Annaberg-Buchholz i. Erzgeb. Ernst-Thälmann-Straße,,Zwickau,Fotografischer  Verlag R. Kallmer Zwickau/Sa.,T 125/59 III 29 65 Best.-Nr. 6502/5082,1950er; 1959; Aufschrift - HO; Aufschrift - HO Industriewaren; Bezirk Karl-Marx-Stadt; Briefmarke - Fünfjahrplan - Arbeiter tauschen Erfahrungen aus; Detail - Stechschilder; Einzelhandel - Art - Industriewaren; Fotografie - Perspektive; Fotografie - Schatten; gelaufen 1960; gelaufen 1960er; Kleidung - Rock; Kreis Annaberg; Kunst am Bau - Ernst Thälmann; Kunst am Bau - Karl Marx; Menschen - Passanten; Menschen - viele; nach: Weißsand im Vogtland; Nachricht - Grüße - aus Annaberg; Name - Hans-Jürgen; Name - Oskar; Ort - Annaberg-Buchholz; Ort - Annaberg-Buchholz - Ernst-Thälmann-Straße; Per - Oskar Nöldner; Philokartie - Eindruck - Logo ERKA; Stadtgestaltung - Einkaufsstraße; Stempel - Tagesstempel - ANNABERG-BUCHHOLZ (ERZGEB.) o; Straße - Ernst-Thälmann-Straße - Annaberg-Buchholz; Tätigkeit - ins Schaufenster Schauen; Tätigkeit - Radfahren; Tätigkeit - Schauen; Tätigkeit - Stehen; Tätigkeit - Tragen; von: Annaberg-Buchholz,,Annaberg-Buchholz,"50.58,13.002222222222",Weißsand im Vogtland,"50.576107,12.311143",1,1959,Germany
,Annaberg-Buchholz,"50.58,13.002222222222",1975,Annaberg-Buchholz i.E. // Bus-Bahnhof,,Zwickau,Fotografischer Verlag R. Kallmer Zwickau/Sa.,12324 K 2/134/75 IV-14-48 A 541,1970er; 1975; Architektur - Stil - Ostmoderne; Bezirk Karl-Marx-Stadt; Detail - Gepäck; Kreis Annaberg; Menschen - Passanten; Natur - Blumen; Ort - Annaberg-Buchholz; Ort - Annaberg-Buchholz - Busbahnhof; Tätigkeit - Einsteigen; Tätigkeit - Warten; Verkehr - Bus,"Neubert, Erhard",o.A.,,o.A.,,1,1975,Germany
,Annaberg-Buchholz,"50.58,13.002222222222",1987,"Annaberg-Buchholz /// Wohngebiet Hermann Matern"" // Blick zum Pöhlberg // Damwildgehege // Oberschule Hermann Matern",,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A1/III/26/13 01 14 0944/01 300916/87,"1980er; 1987; Architekt - Dietmar Gummel; Architektur; Architektur - Stil - Typenbauweise; Bautyp - Plattenbau; Berg - Pöhlberg; Bezirk Karl-Marx-Stadt; Fotografie - Panorama; Kreis Annaberg; Menschen - Kinder; Natur - Bäume - jung; Ort - Annaberg-Buchholz; Ort - Annaberg-Buchholz - Tiergehege; Ort - Annaberg-Buchholz - Wohngebiet ""Hermann Matern""; Schule - Ort - Annaberg-Buchholz - Oberschule ""Hermann Matern""; Stadtmöbel - Papierkorb; Tiere - Damwild; Tierpark; Verkehr - Auto - Trabant",Hoffmann (Oelsnitz (Erzgb.),o.A.,,o.A.,,1,1987,Germany
,Antonsthal,"50.501944444444,12.757222222222",1965,Antonsthal Erzgeb.,Ortsteil Antonshöhe - Club-Haus,Karl-Marx-Stadt,Verlag Erhard Neubert KG Karl-Marx-Stadt,A 3/63 F III/6/75,"1960er; 1965; Archigrafie - Club-Haus; Architektur - Stil - Nationale Bautradition; Baudetail - Säulen; Bezirk Karl-Marx-Stadt; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 10 Pf. (grün) (Ersttag 29.08.1961); Detail - Bordstein; Detail - Laterne; Detail - Lautsprecher; Detail - Schranke; gelaufen - 1965 - 08 - 05; gelaufen 1960er; gelaufen 1965; Kreis Schwarzenberg; Kulturhaus - Art  Clubhaus; Kulturhaus - Ort - Antonsthal - Club-Haus; Kunst am Bau - Landwirtschaft; Kunst am Bau - Revolution; Menschen - 7; nach: Marienberg; Nachricht - Anrede - Uwm [Unterwachtmeister]; Nachricht - Aus dem Ferienlager; Nachricht - hier - gefällt es mir sehr gut; Nachricht - hier - ist es sehr schön; Name - Michael; Name - Stefan; Natur - Bäume - Tannen; Natur - Gras; Natur - Wald; Ort - Antonsthal; Ort - Antonsthal - Clubhaus; Ort - Antonsthal-Antonshöhe; Per - Stefan Böhme; Postalisches - Nachsendung; Stempel - Tagesstempel - SCHWARZENBERG; Tätigkeit - Stehen; Tätigkeit - Stehen - im Schatten; Tätigkeit - Warten; Verkehr - Auto - 1; Verkehr - Bushaltestelle; von: Schwarzenberg",,Schwarzenberg,"50.545277777778,12.779166666667",Marienberg,"50.650833333333,13.164722222222",7,1965,Germany
,Antonsthal,"50.501944444444,12.757222222222",1976,ANTONSTHAL (Erzgeb.),Ortst. Antonshöhe,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A 3/76 IV-14-48 0414 17 520,"1970er; 1976; Bezirk Karl-Marx-Stadt; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; gelaufen 1970er; gelaufen 1976; Handschrift; Kleidung - Hose - kurz; Kleidung - Kleid; Kreis Schwarzenberg; Menschen - Kinder; Menschen - Personen - 3; nach: Zwickau; Natur - Bäume; Natur - Bäume - Birken; Natur - Wiese; noch zu entziffern; Ort - Antonsthal; Ort - Antonsthal-Antonshöhe; Stadtmöbel - Sitzbank; Stempel - Tagesstempel - Antonsthal; Tätigkeit - Spielen; von: Antonsthal","Michel, J. [Bild und Heimat]",Antonsthal,"50.501944444444,12.757222222222",Zwickau,"50.718888888889,12.496111111111",3,1976,Germany
,Apolda,"51.024722222222,11.513888888889",1964,Apolda – Bahnhofstraße,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 382/64 IV-14-45 9/2760,"1960er; 1964; Archigrafie - Lebensmittel; Baudetail - Ornament; Baudetail - Schaufenster; Baudetail - Turm; Bezirk Erfurt; Briefmarke - Staatsratsvorsitzender Walter Ulbricht - grün, 10 Pf; Detail - Antenne; Detail - Fenster - offen; Detail - Markisen; Detail - Schaufenstergestaltung; Detail - Schild - Wäsche; Detail - Tür - offen; Einzelhandel - Art - Lebensmittel; gelaufen - 1964 - 08 - 15; gelaufen 1960er; gelaufen 1964; Kleidung - Accessoire - Sonnenbrille; Kleidung - Accessoire - Tasche; Kleidung - Kittel - Weiß; Kleidung - Kleid; Kreis Apolda; Menschen - Mutter mit Kind; Menschen - viele; nach: Groß Rosenburg; Nachricht - Abschiedsformel - Viele Grüße; Nachricht - An die Großeltern; Nachricht - Ankunft - gut; Nachricht - Anrede - Familie; Nachricht - Anredeformel - Liebe; Nachricht - Anredeformel - Lieber; Nachricht - Kartenschreiben; Nachricht - Sandmännchen; Name - Anke; Name - Fritz; Ort - Apolda; Ort - Apolda - Bahnhofstraße; Per - Fritz Böhm; Stadtdetail - Absperrkette; Stempel - Tagesstempel - APOLDA; Straße - Bahnhofstraße - Apolda; Tätigkeit - Einkaufen; Tätigkeit - Gehen; Tätigkeit - Straßenquerung; Verkehr - Bushaltestelle; Verkehrszeichen - Achtung Fußgänger; von: Apolda","Krieg, Kurt [Jena]",Apolda,"51.024722222222,11.513888888889",Groß Rosenburg,"51.915555555556,11.886388888889",3,1964,Germany
